,K,charge_max,charge_position,charge_ratio,dg,k1,k2,kap,lam,theta0
68,10.0,1.0,core,0.5,-434.21965692458997,1.0,5.0,3.0,23.0,180.0
69,20.0,2.0,core,0.2,-1180.7648260283,1.0,10.0,7.0,17.0,180.0
70,50.0,2.0,core,1.0,-37.30612803096,1.0,1.0,3.0,8.0,180.0
71,10.0,2.0,tail,0.1,-411.43062240264,10.0,10.0,5.0,22.0,90.0
72,20.0,1.0,core,0.5,-201.21152062166001,10.0,1.0,2.0,20.0,180.0
73,5.0,3.0,tail,0.2,-451.61499458844,1.0,10.0,3.0,11.0,90.0
74,10.0,0.0,core,0.30000000000000004,-40.391344329805,10.0,10.0,4.0,6.0,180.0
75,10.0,1.0,tail,0.8,-236.24673376882998,10.0,100.0,2.0,13.0,135.0
76,5.0,1.0,tail,1.0,-659.03771111695,10.0,100.0,7.0,11.0,120.0
77,10.0,1.0,core,0.1,-705.12533702847,10.0,10.0,7.0,11.0,135.0
78,10.0,1.0,tail,0.1,-160.07902578016,5.0,1.0,6.0,24.0,90.0
79,5.0,1.0,tail,0.1,-88.29174768367399,1.0,1.0,5.0,14.0,135.0
80,10.0,2.0,core,0.1,-1146.5636773755,100.0,0.0,3.0,13.0,90.0
81,50.0,3.0,tail,0.9,-900.98809834634,10.0,5.0,6.0,8.0,180.0
82,10.0,2.0,core,0.9,-900.98809834634,10.0,5.0,7.0,25.0,135.0
83,5.0,2.0,tail,0.1,-167.27370452574,5.0,0.0,6.0,18.0,180.0
84,50.0,2.0,core,0.7000000000000001,-962.3499765169198,1.0,1.0,4.0,17.0,180.0
85,10.0,0.0,tail,0.5,-93.244743213035,10.0,100.0,6.0,16.0,180.0
86,20.0,0.0,core,0.1,-39.022751690753005,5.0,100.0,3.0,18.0,90.0
87,50.0,0.0,core,0.0,-72.28923638192799,100.0,0.0,7.0,10.0,135.0
88,50.0,1.0,core,1.0,-72.09686573305001,0.0,0.0,6.0,9.0,135.0
89,5.0,2.0,core,0.0,-1375.9704256019,10.0,1.0,7.0,21.0,180.0
90,50.0,1.0,core,0.4,-363.38307938426004,100.0,100.0,2.0,16.0,90.0
91,5.0,0.0,tail,0.7000000000000001,-91.76385779406601,100.0,10.0,5.0,22.0,180.0
92,10.0,0.0,core,0.8,-72.432233612277,100.0,5.0,7.0,10.0,135.0
93,10.0,0.0,tail,0.2,-60.076170564854,100.0,10.0,5.0,24.0,180.0
94,50.0,3.0,tail,0.6000000000000001,-1165.0522298969,1.0,1.0,4.0,14.0,180.0
95,5.0,3.0,core,0.8,-374.86295390378,10.0,1.0,5.0,5.0,90.0
96,50.0,1.0,core,0.4,-566.7369557755001,0.0,0.0,6.0,15.0,135.0
97,50.0,0.0,tail,0.0,-50.309463724255,1.0,100.0,2.0,14.0,90.0
98,10.0,1.0,tail,0.8,-208.34304273543998,0.0,5.0,2.0,12.0,180.0
99,20.0,3.0,core,0.8,-611.0392221119099,5.0,0.0,4.0,6.0,135.0
