,K,charge_max,charge_position,charge_ratio,dg,k1,k2,kap,lam,theta0
67,10.0,2.0,core,0.4,-221.97725635157997,10.0,10.0,3.0,23.0,135.0
68,50.0,0.0,core,0.8,-221.97725635157997,1.0,10.0,5.0,25.0,120.0
69,50.0,0.0,core,0.2,-221.97725635157997,10.0,10.0,4.0,20.0,120.0
70,5.0,0.0,tail,0.0,-70.61671504945599,100.0,5.0,3.0,15.0,90.0
71,20.0,0.0,core,0.30000000000000004,-75.902446026033,0.0,100.0,6.0,22.0,180.0
72,5.0,0.0,tail,0.2,-418.24419408473,5.0,100.0,6.0,15.0,120.0
73,50.0,1.0,core,1.0,-1192.0035008979,10.0,0.0,8.0,11.0,135.0
74,10.0,0.0,core,0.9,-1739.9323756732,0.0,10.0,8.0,17.0,180.0
75,10.0,0.0,core,0.1,-123.0890056987,100.0,5.0,8.0,18.0,90.0
76,10.0,2.0,tail,0.1,-55.3395303781,0.0,0.0,6.0,22.0,90.0
77,10.0,0.0,tail,0.6000000000000001,-55.3395303781,10.0,100.0,3.0,22.0,135.0
78,20.0,1.0,core,0.6000000000000001,-422.69189554169,0.0,5.0,4.0,17.0,120.0
79,20.0,1.0,tail,0.7000000000000001,-383.47085861754,10.0,10.0,7.0,23.0,120.0
80,50.0,1.0,core,0.9,-71.45047925775799,0.0,0.0,7.0,8.0,180.0
81,20.0,3.0,core,0.4,-93.987485560389,1.0,0.0,6.0,25.0,90.0
82,50.0,1.0,core,0.0,-70.27266525668,1.0,0.0,7.0,16.0,90.0
83,50.0,1.0,core,0.30000000000000004,-798.16805147636,1.0,5.0,5.0,21.0,180.0
84,20.0,2.0,tail,0.1,-691.57499358691,5.0,10.0,8.0,21.0,180.0
85,50.0,2.0,core,0.9,-556.3285480693701,0.0,1.0,4.0,19.0,135.0
86,5.0,1.0,core,0.8,-152.78555565176,1.0,10.0,4.0,12.0,135.0
87,20.0,0.0,tail,0.1,-738.15321033661,1.0,100.0,4.0,20.0,135.0
88,50.0,3.0,core,1.0,-54.977275631731004,100.0,100.0,8.0,15.0,180.0
89,50.0,3.0,tail,0.8,-503.13996830872003,10.0,10.0,4.0,15.0,135.0
90,50.0,2.0,tail,0.5,-1244.3626527369,0.0,0.0,6.0,13.0,120.0
91,20.0,0.0,core,0.0,-451.52543224678004,5.0,0.0,3.0,8.0,120.0
92,5.0,3.0,core,0.0,-1547.4223214182,10.0,100.0,3.0,18.0,135.0
93,20.0,3.0,core,0.30000000000000004,-1215.6014915599,5.0,100.0,8.0,12.0,180.0
94,50.0,1.0,core,0.8,-487.85533610235,100.0,10.0,8.0,19.0,135.0
95,20.0,2.0,core,0.5,-175.1753173016,100.0,5.0,7.0,20.0,180.0
96,5.0,1.0,tail,0.30000000000000004,-175.1753173016,0.0,10.0,2.0,22.0,120.0
97,20.0,3.0,tail,0.6000000000000001,-1533.4796209160997,5.0,5.0,5.0,20.0,180.0
98,10.0,3.0,core,0.30000000000000004,-963.19249695393,5.0,5.0,5.0,13.0,135.0
99,20.0,3.0,tail,0.6000000000000001,-297.50642533372,5.0,1.0,8.0,18.0,180.0
0,50.0,3.0,core,0.2,-1342.0103271981,5.0,5.0,6.0,7.0,180.0
1,10.0,0.0,tail,0.8,-938.30923675513,5.0,0.0,7.0,5.0,180.0
2,5.0,1.0,core,0.5,-1211.0601450169,1.0,100.0,3.0,23.0,90.0
3,10.0,1.0,core,0.2,-965.0200118608301,1.0,1.0,5.0,9.0,120.0
4,20.0,1.0,tail,0.2,-135.49628858281,100.0,100.0,2.0,22.0,135.0
5,10.0,3.0,tail,0.9,-60.806802078279,1.0,10.0,6.0,19.0,180.0
6,5.0,2.0,tail,0.2,-89.176546537969,5.0,10.0,3.0,15.0,135.0
7,10.0,1.0,core,0.5,-1589.1450486072001,5.0,10.0,4.0,19.0,120.0
8,50.0,3.0,tail,0.6000000000000001,-235.45307067861,0.0,1.0,5.0,5.0,135.0
9,5.0,1.0,tail,0.5,-1395.4019758672,5.0,100.0,5.0,16.0,180.0
10,50.0,2.0,tail,0.9,-513.95295724006,10.0,100.0,7.0,25.0,90.0
11,50.0,1.0,core,0.6000000000000001,-1169.7697520638,5.0,0.0,5.0,13.0,90.0
12,20.0,2.0,tail,0.5,-89.187802746749,1.0,0.0,3.0,16.0,135.0
13,50.0,0.0,core,0.2,-920.39331420475,10.0,100.0,2.0,21.0,180.0
14,5.0,2.0,core,0.6000000000000001,-122.19483027853998,0.0,1.0,3.0,20.0,90.0
15,10.0,1.0,core,0.30000000000000004,-127.53788715485001,0.0,5.0,4.0,10.0,135.0
16,20.0,0.0,core,0.2,-128.04293830667,100.0,10.0,2.0,7.0,180.0
17,20.0,3.0,tail,0.7000000000000001,-64.071025891194,1.0,5.0,8.0,20.0,90.0
18,10.0,1.0,tail,0.6000000000000001,-817.35652927769,10.0,1.0,2.0,9.0,135.0
19,50.0,1.0,core,0.30000000000000004,-92.725301178266,10.0,100.0,4.0,23.0,120.0
20,50.0,3.0,tail,1.0,-56.638835014037,0.0,5.0,8.0,23.0,90.0
21,10.0,0.0,tail,0.2,-78.478674743556,5.0,10.0,3.0,15.0,120.0
22,10.0,1.0,tail,0.9,-315.79859017182,0.0,100.0,3.0,11.0,120.0
23,5.0,3.0,tail,0.7000000000000001,-71.856489509861,100.0,100.0,4.0,21.0,120.0
24,5.0,0.0,tail,0.7000000000000001,-69.697411418286,0.0,0.0,8.0,15.0,180.0
25,10.0,3.0,tail,0.30000000000000004,-29.235118773291003,100.0,1.0,6.0,17.0,180.0
26,5.0,3.0,core,0.0,-57.550250340466995,100.0,0.0,7.0,7.0,135.0
27,10.0,3.0,tail,0.6000000000000001,-1807.4416966480999,0.0,1.0,3.0,17.0,180.0
28,10.0,0.0,core,0.8,-115.03640440013001,0.0,100.0,6.0,24.0,120.0
29,5.0,0.0,tail,1.0,-354.33151106032994,0.0,5.0,3.0,23.0,90.0
30,10.0,1.0,core,1.0,-1184.4535881681,1.0,100.0,3.0,7.0,180.0
31,5.0,1.0,core,1.0,-599.79371570354,5.0,1.0,5.0,18.0,90.0
32,50.0,2.0,tail,0.1,-1099.4954071416,10.0,1.0,8.0,24.0,180.0
33,20.0,3.0,core,0.30000000000000004,-1137.8644608461,0.0,1.0,3.0,18.0,120.0
34,50.0,3.0,tail,0.4,-1098.9175770052,1.0,1.0,4.0,18.0,135.0
35,20.0,0.0,core,0.6000000000000001,-636.60259179021,1.0,5.0,2.0,11.0,120.0
36,5.0,3.0,core,0.6000000000000001,-1107.0158545546,10.0,1.0,5.0,16.0,90.0
37,5.0,3.0,core,1.0,-47.827834299147995,10.0,0.0,8.0,15.0,180.0
38,50.0,0.0,core,0.30000000000000004,-670.8882349911099,0.0,100.0,8.0,7.0,135.0
39,50.0,1.0,core,0.9,-952.99951190426,10.0,10.0,3.0,23.0,180.0
40,10.0,2.0,tail,0.0,-714.19210130417,100.0,100.0,5.0,20.0,135.0
41,10.0,2.0,core,0.2,-29.755614593565003,10.0,0.0,4.0,14.0,120.0
42,5.0,2.0,core,0.2,-604.65577135653,1.0,100.0,4.0,12.0,90.0
43,20.0,0.0,core,0.7000000000000001,-73.949573693689,10.0,5.0,7.0,5.0,135.0
44,10.0,2.0,core,0.6000000000000001,-1669.9819502496,100.0,100.0,3.0,15.0,90.0
45,50.0,2.0,tail,0.1,-1669.9819502496,100.0,10.0,4.0,6.0,135.0
46,20.0,2.0,core,0.6000000000000001,-2652.0888889784,100.0,100.0,8.0,12.0,135.0
47,20.0,1.0,tail,0.8,-38.769379613702,10.0,0.0,7.0,10.0,90.0
48,5.0,3.0,tail,1.0,-43.983370611962,10.0,100.0,3.0,8.0,135.0
49,50.0,3.0,core,0.7000000000000001,-89.698939800177,5.0,10.0,8.0,7.0,180.0
50,5.0,0.0,tail,0.30000000000000004,-89.698939800177,100.0,0.0,8.0,21.0,120.0
51,10.0,1.0,core,0.2,-89.50525540072701,0.0,10.0,3.0,13.0,90.0
52,50.0,2.0,core,0.2,-854.4366908919001,5.0,1.0,3.0,18.0,135.0
53,50.0,3.0,tail,1.0,-1277.6635534676,5.0,5.0,7.0,19.0,180.0
54,5.0,3.0,tail,0.8,-818.1682986175,10.0,0.0,5.0,13.0,120.0
55,20.0,2.0,core,0.6000000000000001,-72.05107649548,5.0,1.0,4.0,25.0,90.0
56,10.0,2.0,core,0.4,-2192.9361831303,10.0,10.0,5.0,14.0,120.0
57,10.0,3.0,core,0.6000000000000001,-1035.4968920091999,100.0,100.0,5.0,9.0,90.0
58,20.0,2.0,core,1.0,-61.465101915491,0.0,1.0,6.0,22.0,120.0
59,10.0,3.0,tail,0.4,-302.16900365538,5.0,100.0,7.0,5.0,120.0
60,20.0,2.0,tail,0.7000000000000001,-1058.4590446375998,5.0,10.0,6.0,15.0,135.0
61,50.0,2.0,tail,0.8,-1058.4590446375998,1.0,10.0,3.0,21.0,180.0
62,50.0,2.0,core,0.5,-53.695894080741,0.0,5.0,5.0,16.0,90.0
